sample,station_volume_m3,passenger_heat_W_per_person,passenger_co2_L_s_person,train_direct_heat_W,structure_outdoor_UA_W_K,structure_capacitance_J_K,base_airflow_m3_s,maximum_airflow_m3_s,leakage_coefficient,outdoor_temperature_C,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
20,1.163444338342467,80.5626805970031,0.0059301481815716,355713.64284601744,5561.352951471347,1929740375.3846128,29.205955548707863,88.79288105501567,0.28030715101461245,30.21100879422087,baseline,30.432593737842524,29.115602187663125,25.806765704562167,600.0,457.68775838528256,6.972517191665247,44.7343216786142,51.93568273605716,56.49398614818023,11.332483737311769,72.94513743848398,3427.5,2562.5,0.0,0.0,17532.824718331085,17791.83187841198,5.968866937234004,10.680528545082828,12.399887181837059,14624,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
21,0.925152287882264,76.01304089829125,0.0047137166580821545,303983.05058995495,3444.1816922034245,1295245269.962798,34.64395796750395,70.36648578970126,0.350927841714303,35.05660017465933,baseline,34.00219764895161,32.493324427299925,26.321869157843253,600.0,442.09333552604295,3.5942199425044237,67.29906498812475,70.36648578970122,189.31981846208532,10.692501086359636,66.47881340647618,3547.5,3432.5,0.0,0.0,13779.200477088267,14147.779507337542,7.506271708348413,20.206602700746483,21.127598459965395,18254,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
22,0.9362698209773669,69.31390791786507,0.0038900998709473942,235303.22830311314,7904.585828651977,1646134880.1674333,27.072334539223746,73.00279084328014,0.32401089086268964,29.07447764282611,baseline,29.306033746834203,28.324064538581272,25.794573257408274,600.0,452.1560579908474,2.3117612245259807,37.919961670069625,43.50228203588074,34.06596711851018,9.750156380446352,57.89383562062095,3352.5,665.0,0.0,0.0,14161.350301658604,14317.793038034299,7.417140111592166,11.250306749324434,12.906500841365053,43886,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
23,0.8862657895003634,81.98187762950866,0.005212062980066875,191033.03671704864,7733.5277500986385,1313295643.8707943,15.534542431766923,114.99583729852657,0.549419360630166,32.1800039789931,baseline,31.071909887681727,29.81263076557296,26.07948902038737,600.0,461.2845590593344,0.4207346412149491,35.303421623857275,42.62293864602441,29.291617626300052,11.532117453217552,52.36006167236288,3457.5,2707.5,0.0,0.0,13327.148566246022,13553.112432386115,5.183928408339021,11.064971843441553,13.359090827736805,74336,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
24,1.139249805051465,74.64564888982355,0.0037950683531308895,394829.269302282,7798.224833892457,1733251051.0356421,33.84694428099034,101.54094749474734,0.24329455540639305,32.68404144982676,baseline,32.386883418663956,30.830420250390567,26.0343562748684,600.0,445.3245667210894,6.933374600324896,59.521774310903766,68.0529221771763,132.97635528890575,10.500154610501847,77.83459074551705,3512.5,3262.5,0.0,0.0,17058.34396677114,17421.839903287993,6.095629258528364,14.512906760362679,16.59301534206198,7238,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
25,0.9440971486247499,83.90892779575805,0.0034791835826653086,266868.6910830493,5591.668244579285,986904962.2027743,27.039938180851095,75.84882420444416,0.4984123656946059,28.900908047598755,baseline,29.42099517012008,28.320267979747538,25.946707431155346,600.0,451.1381974625456,1.4441176135733258,37.86702329753989,43.933594050541686,34.061339023828914,11.803189176603299,61.83951846811296,3327.5,735.0,0.0,0.0,14274.384656605851,14437.491499722537,7.355646031301225,11.141456785429611,12.926398668746641,126008,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
26,1.0206871030268252,72.34298400453247,0.0030480362940300382,377654.7533382672,4454.598256625595,1638258229.604187,20.505078174596143,83.58968238622118,0.371664404470641,33.398079771181635,baseline,32.69381212103508,30.92976217616368,26.030865682730507,600.0,449.31347727694384,2.7192335191357415,46.87314599795296,56.571500132050026,67.84695985778214,10.176246416637566,75.6877762500152,3497.5,3172.5,0.0,0.0,15267.239761046843,15608.734117343882,5.80356756648961,12.756424857483985,15.395810866656088,15530,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
27,0.8339127962736044,88.36245236278504,0.0042277232889408566,215496.11603869498,4301.854531129906,1969951354.1397047,19.318484441230673,104.60718965290938,0.5176235571620087,30.319445102435537,baseline,30.021239080577686,28.88434353688356,25.77513275454288,599.9999999999999,456.4514290241688,0.5600501532317139,33.55084128827635,40.0921087403571,24.345965069519593,12.429651632365093,55.41794658756867,3417.5,2072.5,0.0,0.0,12583.364596063371,12752.510613179911,6.581974371437376,11.175842578837898,13.354749947580249,85736,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
28,0.9476123346768184,84.438149961994,0.004096241037495111,315363.94157754787,6593.794165578114,859760537.941862,17.14372620350446,80.85760097781096,0.5186910012965678,34.160493650804476,baseline,33.123347867288714,31.36931477633946,26.6205633365185,600.0,452.331297307411,0.9806478594109649,46.144977183830406,56.03395653343034,65.92619463879907,11.877633094653822,67.90142477992528,3507.5,3212.5,0.0,0.0,14154.230030835117,14491.247057421877,5.438580778358837,13.526680424756442,16.42548050122341,30950,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
29,0.8177186087258275,77.0050082684812,0.004759861163496944,173295.508632884,6192.239239010269,1143921890.290666,33.09943800432356,81.04836707815826,0.4674664162126807,35.8252250530341,baseline,34.20754174491668,33.02136122094609,26.57293270168867,600.0,440.301455404073,2.358580835396424,71.80687703826767,78.93453977192932,232.1220094805455,10.832037829766357,50.1428706618423,3557.5,3462.5,0.0,0.0,12170.800372246578,12504.862958056156,8.492462285119457,24.39268780238794,26.81394408025486,22454,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
