parameter,level,value,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
base_airflow_m3_s,2,27.5,baseline,29.956415744627975,28.88900429967347,25.946363292064234,600.0,451.56158498791626,1.841847803851124,41.69401605169237,47.80168707585185,45.51219250746317,10.55,59.730932082731805,3432.5,2072.5,0.0,0.0,15092.852963627467,15292.379095470611,6.944444444444445,11.581671125470105,13.278246409958848,33824,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
base_airflow_m3_s,3,33.75,baseline,30.01005569555889,28.9808529224973,25.956467500301017,600.0,447.2536298273316,1.7614230163453612,48.43815181287387,54.318784599834565,70.48340149543264,10.55,59.730932082731805,3462.5,2242.5,0.0,0.0,15090.23449270673,15292.379095470611,6.944444444444445,13.455042170242741,15.088551277731824,31568,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
base_airflow_m3_s,4,40.0,baseline,30.05374331043481,29.057086207107595,25.964852400800908,600.0,444.0397463892798,1.7148740806878777,55.08971223492799,60.78648567490451,102.9338664167322,10.55,59.730932082731805,3482.5,2442.5,0.0,0.0,15088.070046082055,15292.379095470611,6.944444444444445,15.302697843035553,16.885134909695697,30188,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
maximum_airflow_m3_s,0,60.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
maximum_airflow_m3_s,1,75.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
maximum_airflow_m3_s,2,90.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
maximum_airflow_m3_s,3,105.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
maximum_airflow_m3_s,4,120.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
leakage_coefficient,0,0.15,baseline,29.936319286808384,28.84681753728265,25.9417229400716,600.0,453.72806400859804,9.4680005597329,38.96423713412968,45.18786577841594,37.421938437146856,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.955540475983,15292.379095470611,6.944444444444445,10.823399203924915,12.552184938448873,7838,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
leakage_coefficient,1,0.26249999999999996,baseline,29.933895037573166,28.846934310251065,25.9417360799805,600.0,453.7270592195702,3.3483900957508013,38.96485333058822,45.18558065392035,37.423725622653464,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.969525650476,15292.379095470611,6.944444444444445,10.82357036960784,12.551550181644542,20012,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
leakage_coefficient,2,0.375,baseline,29.93309489984307,28.84685520642463,25.941726745551648,600.0,453.72596100069336,1.6702936007350218,38.96437506201847,45.18508224291671,37.42200132463137,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.963564003387,15292.379095470611,6.944444444444445,10.823437517227353,12.551411734143528,40028,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
leakage_coefficient,3,0.48749999999999993,baseline,29.932998404692,28.846938441721377,25.941736135672443,600.0,453.72472420883,0.9854437262256397,38.96482902995087,45.1844812624861,37.423472945689156,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.967155934755,15292.379095470611,6.944444444444445,10.823563619430796,12.551244795135029,69782,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
leakage_coefficient,4,0.6,baseline,29.932529576932097,28.846914756584123,25.94173316547557,600.0,453.7226088145498,0.6442397320352029,38.96467744766817,45.183149852924856,37.42280071582856,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.98479497429,15292.379095470611,6.944444444444445,10.823521513241158,12.550874959145794,111686,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
outdoor_temperature_C,0,28.0,baseline,28.72713432486995,27.775838097204414,25.792770104611066,600.0,457.83142320018663,3.0080033426638693,32.63605311166028,37.92569010012928,21.790705353142396,10.55,59.730932082731805,2712.5,0.0,0.0,0.0,15154.443470778957,15292.379095470611,6.944444444444445,9.065570308794522,10.534913916702576,80390,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
outdoor_temperature_C,1,30.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
outdoor_temperature_C,2,32.0,baseline,31.28186387512659,30.060412449098596,26.106731713304953,600.0,450.1676366091011,1.1584634369792184,46.16829611736488,53.27036540184455,62.72297445287294,10.55,59.730932082731805,3492.5,3017.5,0.0,0.0,15027.021260306841,15292.379095470611,6.944444444444445,12.824526699268022,14.797323722734598,18260,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
outdoor_temperature_C,3,34.0,baseline,32.752269177280084,31.399583654882193,26.2858569374132,600.0,447.2011485196197,2.2661704428464873,54.12547842012316,62.06805622149132,101.69301666340243,10.55,59.730932082731805,3522.5,3307.5,0.0,0.0,14954.691556205957,15292.379095470611,6.944444444444445,15.034855116700877,17.241126728192032,20702,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
outdoor_temperature_C,4,36.0,baseline,34.31968082995928,32.84356873805945,26.47674877494103,600.0,444.75095786929353,3.9134378282760736,62.70876750840823,71.44491728944028,158.9238309925039,10.55,59.730932082731805,3537.5,3397.5,0.0,0.0,14878.302656493306,15292.379095470611,6.944444444444445,17.419102085668957,19.845810358177857,20546,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
